Sl. No.,State/UT,2020,2021,2022,2023,2024,2025
1,Andaman and Nicobar Islands,32,72,71,85,137,485
2,Andhra Pradesh,3059,2419,3062,5750,5259,24490
3,Arunachal Pradesh,0,31,55,185,252,657
4,Assam,935,1447,2623,3350,3418,14435
5,Bihar,2369,3230,4692,9061,7378,30610
6,Chandigarh,426,1050,898,1324,875,5557
7,Chhattisgarh,1169,1943,2214,3239,4774,16749
8,Dadra and Nagar Haveli and Daman and Diu,31,136,147,138,144,745
9,Delhi,20442,24298,31880,38483,29948,196751
10,Goa,384,523,887,824,879,4476
11,Gujarat,9625,18074,23944,48214,35834,158336
12,Haryana,13237,10836,13849,26115,23232,111716
13,Himachal Pradesh,283,346,1029,1089,969,4453
14,Jammu and Kashmir,489,816,1306,2437,2164,8284
15,Jharkhand,1458,1479,1924,3525,3125,13237
16,Karnataka,29640,21788,24898,35273,28795,195147
17,Kerala,5832,7761,10345,11788,10267,57326
18,Ladakh,3,3,52,44,31,139
19,Lakshadweep,7,0,0,31,0,38
20,Madhya Pradesh,3713,6757,11748,12238,10353,53343
21,Maharashtra,35751,41754,52143,65199,57505,317801
22,Manipur,133,409,309,195,385,1606
23,Meghalaya,0,120,61,157,106,489
24,Mizoram,2,15,106,79,86,368
25,Nagaland,32,86,71,239,3697,4180
26,Odisha,2463,4136,4632,6532,10797,34219
27,Puducherry,73,205,237,568,213,1713
28,Punjab,1792,4418,2319,4983,3527,20309
29,Rajasthan,5546,5864,11639,13748,11372,57986
30,Sikkim,2,39,22,8,0,88
31,Tamil Nadu,9234,10370,18147,30620,26223,113485
32,Telangana,10532,10859,15081,18509,16615,93864
33,Tripura,765,103,202,193,313,1932
34,Uttar Pradesh,17640,20831,23181,33992,34807,155499
35,Uttarakhand,762,1754,1684,2401,7331,16051
36,West Bengal,3741,7344,9462,11565,11110,53041
Total,Total,181602,211316,274920,392181,351921,1769605
